video_id,comments
lEjmgE-hogg,"['Excel is excellent tool and I love using it', 'I Laughed so hard watch this, nothing in this life is easy, especially for newbies like me, God help us All.', ""I was tasked with creating and formatting Billing Details spreadsheets for all our customer accounts. The starting point was multiple CSV and Excel documents. I used Python with Pandas and OpenPyXL. I'd consider this more Report Automation then Data Analysis. But I do use some of the scripting to create other reporting based on at the moment needs. Great thing about doing reporting this way is I can save the scripts and at a later time rerun it using current data sets.\nExcel can be used as the ending point of the automation and analysis to provide the results to non-developer / non-analyst users."", 'So Please what is your recommendation for data analysis', 'This is the definition of perfection']"
qxj3dx0c7RM,"['Hey Alex, can you help me what to choose between Tableau and Snow flake Chat GPT ? Which will be more helpful in data analysis', ""Hi alex .. i want to thank you its really great video's about data analytics .. can you please share with us your linkedin !?"", 'Hey Alex, thanks for the insight. What role would you say certifications play in the job search process i.e. Power BI, Tableau, Alteryx, AWS, Azure or GCP?', 'Good video. I want to know more about personality traits that caused you not to hire people? I’m concerned about this, I’m a shy introvert, so I have trouble in interviews lol', 'Thanks Alex🎉', ""Love this video. I'm gonna do all what was discussed in this video. Thank you for this.🎉🎉🎉"", 'Great video! Thanks for the insights.', 'hi, everyone']"
zgYqUP_PhQo,"['loving the lessons. Waiting for the rest.', ""Thank you Alex. \nI Just started learning data analytics with your bootcamp playlist and currently I am a little bit confused whether I continue learning the SQL part or jump to excel part and at the same time keep following this MySQL serie. I'm thinking about doing it all because I'm still a rookie and I have to learn.\nI will be happy to hear your suggestion.\nAnd thank you once again Alex for you content."", 'Thank u sooo much alex for this video', ""Alex create a video on how sql is benefitted for hr's am messaging for a second time"", 'thanks Alex for the good tutorial . where can we get the csv data you have used ?', 'Free Palestine 🇵🇸 boycott brands supporting the genocide', ""Alex, hello! 🚀 I wanted to be the first to comment and say how much I appreciate all of the amazing content you make! 🙌 Your ability to analyze things is impressive. I would adore the chance to collaborate with you and add to your wonderful projects. I am sure that I can contribute useful expertise. Just a quick intro about me, I am an analyst with almost 3 year of experience  Let's talk about how I can benefit the team as a new member! 🌼 #TeamAlex""]"
MARn_mssG4A,"['thanks Alex for the good tutorial . where can we get the csv data you have used ?', ""Hey Alex!\n\nI wanted to say a big thank you for your amazing tutorials. Your videos were a major part of my journey, and I'm thrilled to let you know that I've landed my dream job as a Data Scientist today.\n\nYour clear and insightful teachings gave me the skills and knowledge I needed for success in this field. I feel incredibly lucky to have learned from you, and I'm truly grateful for the positive impact you've had on my career. Fun fact: I didn't even have my final interview with the senior manager—they saw how well I aced my technical exam with SQL. I'm genuinely overjoyed right now. Sending love from Philippines ❤️."", 'Any Black Friday sale? )))', 'SO many ITs. Dont worry, the Junior Era in IT sector is over.', ""Alex you're the best, love from student in saudi arabia"", 'Hey Alex, I have recently decided to transition to Data Analytics and your content is helping so much! I am working on my portfolio with your guidance and I hope to land a job soon.', 'Bless you man', 'Great video! I started learning sql earlier this year and already have an understanding of these but it is still helpful to hear how you explain it', ""Hey Alex, \nyou've made it! Now, our teachers use your videos to teach us, making you quite famous in Canada. \nThat's great!"", 'Please try to make 10 minutes video, these videos are perfect to understand a topic🎉']"
TGAUZQJaQbQ,"['Alex can you help give us tutorials on Azure Data Studio', 'Lots of talk based on 10 years ago Excel', ""I'm just learning Excel and I've been getting into all the different things it can do.  Now I am interested in becoming a data analysts, and from what other data analysts have said from other videos I have seen, say Excel is a good place to start for a foundation and then move on from there like learning Sql and other data base languages.  Saw one of your videos on Sql.  Very interesting!"", 'Excel with sharepoint seems to work for version control and real-time usage.', 'I just feel like things go so much quicker with SQL or Python. With Excel, I feel like I have so many small steps that I have to get in order to get things done. However, on the flip side, I LOVE the visual aspect of Excel.', 'Excel is still the best tool to quick check something , or to write a complex query download the data and send a Pivot as a quick and dirty solution to ad-hoc request. No matter how big the company is or tools it uses there will always be 1 board member or colleague that will ask you ""can i get it in xlxl format please "". So yes it does have a limitation however this tool wont be going anywhere and what i would even suggest is learn excel to be at least  intermediate user your life as a Data Analyst or w.e Data position you will have will be easier.', 'Any comments on PowerBI software? Does Data Analysts love them?', ""3D stacked pie chart 😂😂\n\nEdit: wait, tell me those don't exist please"", 'I still consider Power Query in excel  one of the best ETL tools for data transformation', ""Haha ok. i've probably been using excel longer than you've been doing addition.  excel is fantastic for appropriate use cases . . . but its not good for everything.  btw, the visuals in excel, back in the day, were about the best you could generally find.""]"
HYD8KjPB9F8,"['Thank you for this teaching. Pls do you have any video on Google big query?', ""I've heard several times you're talking about cloud computing. Can you release a video explaining what we need to learn about cloud as a junior data analyst?"", ""Hey Alex, I've been watching your videos for about a year now. I found a lot of your videos very helpful, especially the Portfolio Projects and Resume/Interview stuff. Just wanted to share that I finally got a job as a Data Engineer and I owe you a big THANKS!\n\nKeep doing what you're doing, it's all very helpful."", 'Thanks!', '@ Alex the Analyst Please, how can I contact you? I have a question that ONLY YOU can answer.\nKindly let me know ASAP.', 'Hello can you provide data analyst classes will helps us explore and also help us to get placed in product based organization', 'I am doing marine engineering \nDo you think I can learn SQL', ""Doing my data analyst basic course and once I'm done there I'm going to watch all your videos and learn. 😅"", ""Are you going to be doing a portfolio project in MySQL? I know thats kind of a lot to ask for, but that would be super helpful because I have had a lot of trouble doing the portfolio project because of the file formats and also being on a mac and also trying to do it on MySQL... Love everything you do, you've been a huge help"", 'What is the compiler name']"
wgRwITQHszU,"['😊', ""just started today it's good love it ❤"", 'Hey, I am unable to download to the Github File on my computer, tried multiple times, even used DownGit but of no use, It would be of great help if someone could help me on this.', 'I have only one question...\n\n\n\n\n\n\nWhere is Ron Swanson???', 'finally, about mySQL!! i hope you can make about Data Analyst project with mySQL too', 'I have a mac, but it does not give me an option to choose the ""Mac"" option when i hit the drop down button on the select operating system. Is anyone else having that issue? what should I do ??', ""Well I just finished Microsoft SQL thanks to you but I realised my college wants to teach us mysql and you're making a tutorial for it that'll come in handy"", '❤💚\U0001fa75💜🙏🇮🇱🇺🇲🇮🇱🇺🇲🇮🇱🇺🇲', '??? No Developer Default option with downloading ???', 'Hi \nThere is no default option for me in the installation prompt, should i select the full version or manual ?']"
1LG65qXfeQY,"['Thank you Alex. When will be the second part (more advanced) part of your tutorial?', ""It was a great starting point for using python. But in m'y opinion it would be really more helpfull to show how to tackle a Real dataset and how thing goes on with several python méthodes\nBut anyway, thanks a lot for this session 🍻"", 'because of Alex, now I become Doggo TheAnalystDog. thank you Alex, everything is meat !', 'Thank you so much Alex, this video was very useful, highly recommended for someone who needs a quick glance and cover some important topics in python', 'Thank you so much Alex, your videos are helping a lot in my data analytics learning journey.', 'Thanks for sharing', 'Greats, thanks Alex', 'Please make a video on IBM spss', 'Thank you Alex!!', 'Thank you for all that you do!']"
QzLz-W29Tww,"[""What I hated the most when I was starting on my main channel was that I had better content and videos generally than most of the bigger youtubers but i just couldn't move from a dead point. Here is my advice for beginners. invest couple of dollars in Fame ster and save yourself from stressing. I was sceptic and scared for may channel but it is completely safe. Cheers!"", 'I\'ve just finished watching your video on starting a data-focused YouTube channel, and I felt compelled to reach out and express my gratitude for the insights you\'ve shared. As someone who has been contemplating the idea of launching a similar channel, your advice and guidance have proven to be invaluable.\r\n\r\nYour approach to breaking down the process into digestible steps was particularly impactful. You didn\'t merely suggest ""starting a channel,"" but instead provided practical guidance on identifying a niche, crafting engaging content, and effective methods of promoting a channel. Your honesty when discussing the challenges one might face, such as finding motivation and overcoming the fear of exposure, was truly appreciated.\r\n\r\nYour emphasis on authenticity resonated deeply with me. Instead of advocating for mimicry of successful channels, you champion the idea of discovering our own unique voice and style. In my opinion, this authenticity is the key ingredient in creating a distinctive and captivating channel.\r\n\r\nOne enlightening point you made was about the importance of having a content plan. I agree that a clear roadmap for the channel not only fuels motivation but also ensures the consistency and relevance of the content. This is something I\'m keen to incorporate into my own strategy.\r\n\r\nIn conclusion, your video has provided the impetus I needed to kick-start my own data YouTube channel. Your evident passion and enthusiasm for your work are infectious and inspiring. Thank you, Alex, for generously sharing your knowledge and experiences with us. Your video has not only equipped me with valuable techniques and strategies but has also reignited my motivation to embark on this exciting journey.', 'Hey Alex just wanted to give you a huge shout for imparting me knowledge and confidence to go and build my own tableau portfolio and get employed. You are doing a commendable job. Keep on doing the good deed and all the best for future.😁', ""Thank you, Alex, for the excellent advice! Pretty inspiring! I just started my channel weeks ago. Sometimes I thought I knew something well, but it turned out I didn't. Teaching is really a great way of learning."", 'It will be really great if you make a video on technical interviews for an entry level data analyst such as what questions are generally asked and a summary regarding the same! Thanks!', ""Once you decided that you're more of youtuber than data analyst, the content value of this channel is decreasing"", ""@alextheanalyst  Not relevant to this post but I can't access the discord platform on analyst builder. It's saying the address is invalid. I'm also having trouble importing the 'world life expectancy' data to MySQL. It imports perfectly to Excel but only imports 25% of the data to Mysql. Any suggestions?"", ""I'm starting one called Datagnolo in Italian, i'm not hoping to get a lot of views due Italy has only 60 million people, so not many of those will be interested in my content, But I want to do it to practice my data analysis skills and Italian skills.\n\nI did something similar 4 years ago i started a YouTube channel talking about YouTube, and YouTube management in English and helped a lot to improve my English skills I even got clients as a YouTube manager =) \n\nSo if you're reading this message, and you're thinking to start a YouTube channel, don't overthink it but don't do it for the views or subscribers, do it for some reason it's more important to you than external approval."", ""Exactly the same reasons for starting a channel as me. \n\nI needed a way to force learning but learning in a way you know enough to teach some one, basically a form of the Feynman technique, and document what I learn / create so I have it as a reminder, but also giving back to the data community as I have learnt so much from long running data YouTubers.\n\nFeels great to give back 😀  One thing I would add is for anyone starting youtube, it takes time to grow so just enjoy the journey and don't let the early low subs and views get you down. Just keep posting and see if it's something you enjoy first and then decide if you want to do as just a hobby, part time or full time, so you don't burn out."", 'Hey Alex, can you do a tutorial about Credit Risk Analysis or maybe a tutorial on forecasting  ?']"
ukIUVW2E-n0,"[""Purchased the Lifetime question package. Any plans for people such as me to upgrade to the lifetime courses and questions package? I wouldn't just wanna lose the money spent on the questions package by wanting to upgrade to a full bigger package."", 'good', 'Your mom looks great. About to actually pay attention to the content.', 'how much to purchase', '87. Did I win?\nDaisy. Did I win?\nMax. Did I win?\nPirate. Did I win?', 'You are so nice Alex. Love the show with your dear Mom.', ""I missed the livestream but i can watch the replay, so that's fine too, i just had a look at your platform and registered , it looks super dope and full or valuable information and super powerful content, you are doing an amazing job Alex, thank you very much for everything you do. Much appreciation .🙂🙂🙂🙏🙏🙏"", '87. Probably too late. Was driving in extremely heavy traffic and not able to tune in live. You and your Mom are a great team.', 'Bless you to still have your mom by your side. She is so proud of you!']"
